ts,pred,side,model_type
ts,thr,long,kinds_used
2025-09-18 10:38:00+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:38:38+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:39:14+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:39:51+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:40:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:41:06+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:41:47+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:42:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:43:08+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:43:47+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:44:25+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:45:04+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:45:40+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:46:18+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:46:55+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:47:31+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:48:07+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:48:43+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:49:18+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:49:56+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:50:36+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:51:12+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:51:53+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:52:32+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:53:13+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:53:51+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:54:32+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:55:09+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:55:48+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:56:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:57:06+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:57:45+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:58:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:58:57+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:59:31+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:00:08+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:00:44+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:01:19+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:01:54+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:02:29+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:03:04+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:03:42+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:04:18+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:04:53+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:05:29+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:06:04+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:06:39+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:07:41+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:08:17+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:08:57+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:09:36+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:10:17+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:10:57+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:11:38+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:12:19+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:13:00+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:13:42+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:14:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:15:05+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:15:42+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:16:17+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:16:53+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:17:28+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:18:07+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:18:48+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:19:29+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:20:10+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:20:50+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:21:31+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:22:10+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:22:49+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:23:39+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:24:44+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:26:03+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:27:05+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:28:32+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:29:14+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:30:18+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:31:16+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:32:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:33:03+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:33:52+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:35:05+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:35:46+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:36:43+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:37:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:37:59+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:38:41+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:39:32+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:40:10+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:40:47+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:41:23+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:41:57+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:42:34+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:43:13+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:44:01+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:44:54+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:45:44+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:46:27+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:47:09+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:48:18+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:49:00+0000,0.430000,long,lstm|tcn|tx
2025-09-18 11:49:40+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:11:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:12:01+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:12:35+0000,0.430000,long,lstm|tcn|tx
2025-09-18 14:12:42+0000,0.270000,long,lstm|tcn|tx
2025-09-18 14:13:10+0000,0.430000,long,lstm|tcn|tx
